,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2025-02-20 17:10:24,2025-02-20 17:07:15,28987,187.0,15466.0,2827,24337.0,864.0,19681.0,115537.0,2025-02-15 03:21:32,33.4.1,9654680.0,5662232.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",387322.0,387322.0,1497.0,https://www.npmjs.com/package/electron,4053119.0,51,True,1,44.0,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-02-20 16:50:52,2025-02-20 16:50:50,6019,216.0,4330.0,623,3428.0,78.0,3882.0,85796.0,2025-02-18 16:07:55,4.0.7,5335695.0,140413.0,100.0,A utility-first CSS framework for rapid UI development.,13253544.0,13253544.0,302.0,,,47,True,1,,['css'],
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-02-20 08:42:08,2025-02-20 08:42:07,6129,187.0,17590.0,206,7887.0,1509.0,5777.0,25176.0,2025-02-07 11:22:19,2.9.4,,950340.0,100.0,A Vue.js 3 UI Library made by Element team.,110569.0,110569.0,717.0,https://www.npmjs.com/package/element-plus,950340.0,44,True,1,-1.0,"['vue3', 'typescript']",
3,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-02-13 10:36:04,2025-02-13 10:17:53,14893,244.0,3553.0,459,4706.0,509.0,7398.0,26277.0,2025-02-13 10:19:32,@quasar/app-webpack-v4.1.0,,700513.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,56083.0,56083.0,753.0,https://www.npmjs.com/package/quasar,700513.0,43,True,1,,"['vue3', 'javascript']",
4,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-02-20 15:27:45,2025-02-20 15:27:43,12959,584.0,1348.0,87,1598.0,552.0,5090.0,11823.0,2024-12-12 09:38:23,4.2.5,,1273862.0,100.0,Next Generation Vue UI Component Library.,33548.0,33548.0,362.0,https://www.npmjs.com/package/primevue,1273862.0,43,True,1,,"['vue3', 'typescript']",
5,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-02-18 12:36:51,2025-02-18 12:36:51,1634,29.0,10858.0,1186,1766.0,561.0,4196.0,106354.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15798227.0,15798227.0,495.0,,,42,True,1,,"['vue2', 'vue3']",
6,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211,,9491.0,760,983.0,99.0,1166.0,28456.0,2021-06-17 15:52:07,4.0.2,,6806154.0,51.0,Centralized State Management for Vue.js.,1340968.0,1340968.0,336.0,https://www.npmjs.com/package/vuex,6806154.0,42,True,1,,['vue3'],
7,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-02-20 15:21:26,2025-02-14 12:24:54,6749,23.0,1271.0,189,2342.0,96.0,1272.0,27821.0,2025-02-14 12:26:30,@xstate/store@3.0.1,,8226451.0,100.0,Actor-based state management & orchestration for complex app logic.,307822.0,307822.0,366.0,https://www.npmjs.com/package/xstate,8226451.0,42,True,1,,[],
8,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-02-15 18:09:03,2025-02-15 18:09:03,2466,15.0,1204.0,56,1222.0,31.0,913.0,4089.0,2024-11-25 15:00:41,4.5.0,,5585500.0,72.0,The official router for Vue.js.,2500305.0,2500305.0,250.0,https://www.npmjs.com/package/router,5585500.0,42,True,1,,['vue3'],
9,pinia,vuejs/pinia,pinia,state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-02-17 08:54:43,2025-02-17 08:54:39,2104,65.0,1082.0,67,901.0,20.0,754.0,13559.0,2025-02-11 14:59:44,3.0.0,,7788617.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",328929.0,328929.0,260.0,https://www.npmjs.com/package/pinia,7788617.0,41,True,2,,['vue3'],
10,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-02-05 14:05:29,2025-02-05 14:05:26,1909,13.0,3908.0,583,1204.0,312.0,2379.0,49583.0,2024-12-27 20:28:08,1.0.3,862206.0,9797.0,21.0,Modern CSS framework based on Flexbox.,258989.0,258989.0,424.0,,,40,True,3,,['css'],
11,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,bootstrap-vue,ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-01-05 22:09:18,2024-10-31 12:57:01,5382,,1854.0,287,3684.0,171.0,3231.0,14517.0,2022-04-17 12:49:53,2.22.0,,976145.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182192.0,182192.0,358.0,https://www.npmjs.com/package/bootstrap-vue,976145.0,40,True,2,,"['vue2', 'javascript']",
12,Appolo Client,apollographql/apollo-client,,graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2025-02-20 17:52:09,2025-02-14 18:32:33,12816,139.0,2633.0,277,6665.0,493.0,4736.0,19477.0,2025-02-14 18:33:49,3.13.1,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",189465.0,189465.0,899.0,,,38,True,1,,"['vue2', 'vue3']",
13,Naive UI,tusen-ai/naive-ui,naive-ui,ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2025-02-10 09:50:49,2025-01-24 06:59:58,8889,64.0,1702.0,92,3180.0,442.0,2827.0,16672.0,,,,149507.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,33182.0,33182.0,327.0,https://www.npmjs.com/package/naive-ui,149507.0,38,True,2,,"['vue3', 'typescript']",
14,Ant Design Vue,vueComponent/ant-design-vue,ant-design-vue,ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2025-02-17 06:30:00,2025-02-17 03:28:06,5277,5.0,3795.0,302,1898.0,133.0,5728.0,20548.0,2024-11-11 06:59:22,4.2.6,,357844.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,61196.0,61196.0,291.0,https://www.npmjs.com/package/ant-design-vue,357844.0,37,True,3,,['vue3'],
15,Tauri,tauri-apps/tauri,tauri,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2025-02-20 14:47:16,2025-02-20 14:26:14,5318,151.0,2717.0,518,5462.0,947.0,4251.0,89629.0,2025-01-25 20:13:37,tauri-v2.2.5,12026.0,4693.0,100.0,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",708.0,708.0,446.0,https://www.npmjs.com/package/tauri,1687.0,36,True,3,,,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2025-01-15 16:27:23,2025-01-15 16:27:22,4833,7.0,1270.0,112,935.0,77.0,3413.0,10935.0,2024-12-22 16:28:52,4.15.0,,,100.0,Painless Vue forms.,90376.0,90376.0,392.0,,,34,True,1,-1.0,,
17,Amplify UI,aws-amplify/amplify-ui,@aws-amplify/ui-vue,ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2025-02-20 17:34:01,2025-02-20 00:18:26,3271,82.0,312.0,59,4959.0,183.0,1021.0,979.0,2025-02-14 00:59:33,@aws-amplify/ui-angular@5.0.37,,74981.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",67946.0,67946.0,143.0,https://www.npmjs.com/package/@aws-amplify/ui-vue,74981.0,34,True,3,,['vue3'],
18,CoreUI,coreui/coreui,,css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2025-02-18 10:07:28,2025-02-15 13:01:20,22419,69.0,204.0,24,718.0,2.0,154.0,792.0,2025-02-14 11:57:18,5.3.1,11458.0,143.0,95.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,40375.0,40375.0,1530.0,,,34,True,3,,['bootstrap5'],
