,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-03-20 17:26:20,2025-03-20 16:51:30,6117.0,256.0,4389.0,619.0,3522.0,82.0,4070.0,86514.0,2025-03-20 17:44:01,4.0.15,5636279.0,144519.0,100.0,A utility-first CSS framework for rapid UI development.,13740978.0,13740978.0,307.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-03-20 16:56:05,2025-03-20 13:07:31,6199.0,199.0,17869.0,207.0,8010.0,1533.0,5832.0,25413.0,2025-03-07 11:35:02,2.9.6,,1217135.0,100.0,A Vue.js 3 UI Library made by Element team.,114087.0,114087.0,734.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1217135.0,1.0,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-03-20 10:50:51,2025-03-20 10:50:51,13289.0,819.0,1386.0,90.0,1651.0,555.0,5224.0,12119.0,2025-03-12 11:50:30,4.3.2,,1412051.0,100.0,Next Generation Vue UI Component Library.,34787.0,34787.0,378.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1412051.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-03-20 02:13:10,2025-03-20 02:13:10,1649.0,36.0,10886.0,1185.0,1796.0,563.0,4220.0,106547.0,2025-03-19 19:27:42,1.8.4,,,92.0,Promise based HTTP client for the browser and node.js.,16144381.0,16144381.0,499.0,42,True,1,,,,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9497.0,760.0,983.0,99.0,1167.0,28458.0,2021-06-17 15:52:07,4.0.2,,7262837.0,51.0,Centralized State Management for Vue.js.,1345764.0,1345764.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7262837.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-03-20 11:39:35,2025-03-20 11:39:28,6764.0,31.0,1281.0,188.0,2355.0,100.0,1274.0,27960.0,2025-03-19 10:58:11,@xstate/store@3.4.0,,8769059.0,100.0,Actor-based state management & orchestration for complex app logic.,313590.0,313590.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8769059.0,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-03-07 11:11:39,2025-03-07 09:23:08,14961.0,146.0,3565.0,459.0,4714.0,517.0,7423.0,26381.0,2025-03-06 13:27:35,quasar-v2.18.1,,721478.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,56826.0,56826.0,762.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,721478.0,,
7,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-03-10 08:05:13,2025-03-10 08:05:09,2115.0,51.0,1098.0,66.0,914.0,20.0,768.0,13690.0,2025-02-11 14:59:44,3.0.0,,8420984.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",341639.0,341639.0,264.0,42,True,1,pinia,https://www.npmjs.com/package/pinia,8420984.0,1.0,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-03-17 13:42:50,2025-03-17 13:42:46,2472.0,14.0,1212.0,54.0,1230.0,31.0,916.0,4157.0,2024-11-25 15:00:41,4.5.0,,7202995.0,72.0,The official router for Vue.js.,2529315.0,2529315.0,251.0,42,True,1,router,https://www.npmjs.com/package/router,7202995.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-03-18 02:31:32,2025-03-18 02:23:53,5408.0,26.0,1856.0,285.0,3696.0,172.0,3231.0,14518.0,2022-04-17 12:49:53,2.22.0,,953289.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182662.0,182662.0,358.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,953289.0,1.0,
10,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-02-05 14:05:29,2025-02-05 14:05:26,1909.0,5.0,3905.0,582.0,1204.0,314.0,2383.0,49653.0,2024-12-27 20:28:08,1.0.3,868995.0,9763.0,21.0,Modern CSS framework based on Flexbox.,260182.0,260182.0,424.0,39,True,3,,,,,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2025-03-20 17:07:13,2025-03-20 16:47:17,12835.0,112.0,2637.0,272.0,6719.0,487.0,4772.0,19505.0,2025-03-20 16:48:41,3.13.5,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",190249.0,190249.0,904.0,38,True,1,,,,,
12,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2025-03-20 17:55:28,2025-03-20 17:52:38,5395.0,193.0,2762.0,519.0,5574.0,981.0,4338.0,90699.0,2025-02-28 13:39:43,tauri-cli-v2.3.1,20667.0,6197.0,100.0,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",719.0,719.0,461.0,37,True,1,tauri,https://www.npmjs.com/package/tauri,2064.0,1.0,
13,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2025-03-17 22:56:00,2025-03-06 06:37:19,5279.0,7.0,3803.0,302.0,1903.0,147.0,5754.0,20653.0,2024-11-11 06:59:22,4.2.6,,418060.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,62071.0,62071.0,292.0,37,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,418060.0,,
14,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2025-03-06 07:58:09,2025-02-24 13:49:29,8890.0,25.0,1725.0,92.0,3193.0,462.0,2833.0,16817.0,,,,147711.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,33654.0,33654.0,327.0,37,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,147711.0,,
15,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2025-03-18 10:10:29,2025-02-15 13:01:20,22419.0,66.0,203.0,23.0,731.0,4.0,154.0,795.0,2025-02-14 11:57:18,5.3.1,12170.0,150.0,95.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,41054.0,41054.0,1530.0,35,True,3,,,,1.0,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2025-03-15 20:36:00,2025-03-15 20:36:00,4834.0,6.0,1272.0,111.0,937.0,88.0,3416.0,10969.0,2024-12-22 16:28:52,4.15.0,,,100.0,Painless Vue forms.,91672.0,91672.0,393.0,34,True,1,,,,,
17,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2025-03-20 17:18:04,2025-03-19 23:53:26,3292.0,65.0,317.0,59.0,5004.0,187.0,1038.0,1000.0,2025-03-20 00:24:34,@aws-amplify/ui-react-native@2.4.4,,94639.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",69894.0,69894.0,145.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,94639.0,,
18,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2025-03-10 23:28:08,2024-12-23 12:52:22,1469.0,1.0,4985.0,504.0,990.0,63.0,2793.0,18991.0,2022-09-06 10:10:34,3.6.5,,15615001.0,90.0,The official router for Vue 2.,3.0,3.0,291.0,33,True,3,vue-router,https://www.npmjs.com/package/vue-router,15615001.0,,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2025-03-03 21:14:07,2025-03-03 21:12:08,2760.0,12.0,462.0,85.0,1569.0,27.0,945.0,8758.0,2025-03-03 21:15:02,@urql/vue@1.4.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,633410.0,633410.0,267.0,33,True,2,,,,,
20,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2025-03-11 19:00:11,2025-03-11 19:00:11,3692.0,31.0,353.0,33.0,1812.0,443.0,2077.0,3598.0,2024-10-17 15:15:46,1.10.3,,14564.0,61.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1777.0,1777.0,137.0,33,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,14564.0,,
